College_Code,Department_Name,Event_Year,Total_Students,Total_Teams,Active_Participants,Total_Offers,Partnership_Count,Recruiter_Visits,Total_Faculty,Active_Mentors,Total_Hackathon_Cost,Innovation_Score_Avg,Departmental_Performance_Index_DPI,Institutional_ROI
C10,MECH,2025,821,71,542,56,3,16,45,38,557813.0,0.609,0.678,104.73
C11,CSE,2025,770,93,495,82,1,15,40,31,544692.0,0.793,0.775,104.73
C11,ECE,2025,602,43,245,33,4,10,42,28,524476.0,0.782,0.665,104.73
C11,IT,2025,869,99,452,78,3,8,43,25,435949.0,0.787,0.707,104.73
C11,MECH,2025,778,48,450,44,1,17,45,22,568877.0,0.711,0.733,104.73
C12,CSE,2025,617,87,334,82,5,12,20,17,459375.0,0.853,0.786,104.73
C12,ECE,2025,946,44,655,24,4,17,35,19,523468.0,0.789,0.687,104.73
C12,IT,2025,961,67,452,62,4,12,31,24,551172.0,0.903,0.78,104.73
C12,MECH,2025,538,75,247,66,5,14,45,31,527379.0,0.837,0.737,104.73
C13,CSE,2025,789,91,537,54,2,10,45,22,446364.0,0.858,0.725,104.73
C13,ECE,2025,503,55,224,42,2,8,47,34,521680.0,0.697,0.642,104.73
C13,IT,2025,916,90,466,56,3,8,20,17,538940.0,0.931,0.712,104.73
C13,MECH,2025,511,70,249,36,5,10,37,20,524297.0,0.684,0.574,104.73
C14,CSE,2025,763,68,458,43,2,9,38,27,512745.0,0.849,0.709,104.73
C14,ECE,2025,613,84,319,70,4,16,40,32,474425.0,0.671,0.674,104.73
C14,IT,2025,856,48,533,26,1,10,35,20,568429.0,0.824,0.679,104.73
C14,MECH,2025,723,76,300,50,1,10,28,14,561800.0,0.734,0.615,104.73
C15,CSE,2025,841,52,522,44,1,11,31,23,489163.0,0.919,0.808,104.73
C15,ECE,2025,705,70,409,53,2,12,24,14,517508.0,0.751,0.701,104.73
C15,IT,2025,983,92,543,61,1,14,32,20,441174.0,0.849,0.704,104.73
C15,MECH,2025,897,70,479,39,3,14,48,34,533150.0,0.776,0.638,104.73
C16,CSE,2025,575,48,303,35,1,13,26,20,523105.0,0.765,0.683,104.73
C16,ECE,2025,782,97,505,52,5,12,25,14,562396.0,0.745,0.653,104.73
C16,IT,2025,631,75,321,67,3,19,41,26,445485.0,0.835,0.755,104.73
C16,MECH,2025,950,84,520,69,2,11,47,30,472918.0,0.629,0.662,104.73
C17,CSE,2025,500,42,291,37,1,15,20,15,466395.0,0.837,0.774,104.73
C17,ECE,2025,672,71,440,55,5,18,47,27,443843.0,0.663,0.694,104.73
C17,IT,2025,940,57,422,36,1,8,40,25,568186.0,0.867,0.671,104.73
C17,MECH,2025,511,49,219,31,4,15,47,30,491529.0,0.642,0.575,104.73
C18,CSE,2025,635,97,313,75,4,12,28,17,551790.0,0.947,0.759,104.73
C18,ECE,2025,644,48,417,44,4,19,35,29,552402.0,0.633,0.723,104.73
C18,IT,2025,752,45,381,40,5,16,21,11,486570.0,0.937,0.793,104.73
C18,MECH,2025,864,44,463,22,1,9,34,17,453833.0,0.694,0.588,104.73
C19,CSE,2025,562,64,309,58,3,8,32,16,535570.0,0.844,0.774,104.73
C19,ECE,2025,884,60,358,57,1,12,24,17,453574.0,0.828,0.738,104.73
C19,IT,2025,984,92,557,55,2,10,36,22,468765.0,0.84,0.685,104.73
C19,MECH,2025,500,90,203,45,1,15,21,13,554454.0,0.667,0.539,104.73
C20,CSE,2025,653,97,422,50,3,9,31,15,536884.0,0.86,0.693,104.73
C20,ECE,2025,977,69,640,50,5,12,33,17,489494.0,0.801,0.734,104.73
C20,IT,2025,921,99,593,86,2,9,37,31,505745.0,0.861,0.798,104.73
C20,MECH,2025,807,96,487,80,4,14,29,16,533196.0,0.774,0.741,104.73
C21,CSE,2025,887,49,537,40,2,8,47,27,444388.0,0.946,0.805,104.73
C21,ECE,2025,949,52,504,36,3,18,38,33,567162.0,0.632,0.62,104.73
C21,IT,2025,873,55,356,30,4,15,44,24,499724.0,0.925,0.656,104.73
C21,MECH,2025,659,89,323,62,5,12,37,29,453061.0,0.687,0.631,104.73
C22,CSE,2025,904,45,361,26,1,19,45,35,521865.0,0.823,0.622,104.73
C22,ECE,2025,800,66,392,58,1,16,41,34,548831.0,0.728,0.702,104.73
C22,IT,2025,560,56,249,31,1,15,36,20,561374.0,0.787,0.614,104.73
C22,MECH,2025,626,95,263,72,4,14,33,23,535113.0,0.78,0.665,104.73
C23,CSE,2025,513,98,260,55,3,14,33,26,548033.0,0.856,0.663,104.73
C23,ECE,2025,793,74,431,51,1,14,24,18,525462.0,0.681,0.642,104.73
C23,IT,2025,585,65,359,56,1,11,44,25,512152.0,0.821,0.771,104.73
C23,MECH,2025,608,57,353,31,2,15,27,13,530776.0,0.741,0.634,104.73
C24,CSE,2025,600,45,419,23,3,15,46,35,546148.0,0.816,0.689,104.73
C24,ECE,2025,649,60,328,52,4,18,49,32,434324.0,0.62,0.66,104.73
C24,IT,2025,535,63,219,32,4,19,30,18,561189.0,0.751,0.576,104.73
C24,MECH,2025,868,69,408,35,3,15,45,34,567541.0,0.792,0.61,104.73
C25,CSE,2025,909,93,574,78,4,8,31,15,472533.0,0.872,0.79,104.73
C25,ECE,2025,792,50,415,37,3,10,20,15,495545.0,0.684,0.653,104.73
C25,IT,2025,760,62,441,42,2,15,21,13,538872.0,0.801,0.698,104.73
C25,MECH,2025,772,48,510,38,3,8,24,13,569639.0,0.631,0.688,104.73
C24,MECH,2024,878,69,400,36,3,15,45,34,566900.2112316573,0.7882299291057413,0.6177776223162591,104.73000000000002
C04,CSE,2024,985,72,617,72,3,8,23,18,519488.5594243582,0.9147358945317131,0.8495450609268431,104.73
C06,ECE,2020,902,40,416,30,2,13,42,24,538934.9148819594,0.6196276795019835,0.6166943712946982,104.73000000000002
C03,AIML,2022,785,39,414,28,1,15,20,13,564079.0304885575,0.6832133290737944,0.6159588266146003,104.73000000000002
C21,MECH,2020,657,89,324,60,5,12,37,29,451852.84828889504,0.6847513519288232,0.635289907497838,104.73
C03,ECE,2020,809,41,405,26,1,15,19,13,568874.0837228148,0.6671400826945342,0.613150764216991,104.73
C05,ECE,2020,729,40,414,40,5,16,23,17,565577.2675028634,0.6462344567371965,0.7180515590892077,104.73000000000002
C08,IT,2024,904,47,493,25,1,8,35,28,450743.7905996847,0.8552939553942577,0.6666439726817286,104.72999999999999
C17,Mechanical,2023,933,56,425,34,1,8,40,24,565013.2292640924,0.8634851431605445,0.6734376862703384,104.73
C17,IT,2021,946,56,427,37,1,8,41,25,568809.2246008365,0.8701638467683501,0.6708248713575584,104.72999999999999
C08,Mechatronics,2021,669,54,439,35,4,8,23,11,563787.5764267006,0.723902488252191,0.6871444274645248,104.73000000000002
C24,MECH,2023,876,69,399,36,3,15,45,34,567860.4176139364,0.7944813914144396,0.618113229301761,104.73
C15,CSE,2021,838,53,518,45,1,11,31,23,488837.5862061701,0.921488068372731,0.8058717471524933,104.72999999999999
C16,Cyber Security,2021,946,82,519,70,2,11,47,30,474839.0725993239,0.6255180575943916,0.6600400955867656,104.72999999999999
C24,MECH,2020,865,68,407,34,3,15,46,33,569595.1778605267,0.7981914111393003,0.6127925621296372,104.73
C17,MECH,2022,509,45,222,31,4,15,48,30,492163.93787345284,0.6535814195648874,0.5737325690867,104.73
C02,AIDS,2021,978,90,527,66,1,14,37,21,499350.3181375026,0.9309866895858577,0.7505100987398536,104.73
C13,ECE,2020,494,57,222,41,2,8,47,34,520834.0901127448,0.6950405433941277,0.6345616405071214,104.73000000000002
C22,Mechanical,2022,562,57,257,31,1,15,36,20,560420.9281005336,0.7849006048878554,0.6138681365484581,104.72999999999999
C09,ECE,2024,682,87,285,85,4,12,25,14,465190.6048623864,0.7893480048323027,0.7326617114263572,104.72999999999999
C03,AIDS,2020,807,39,411,26,1,15,20,13,564122.3217727058,0.6713233146280189,0.6114925488097435,104.73000000000003
C10,ECE,2023,824,71,533,55,3,16,45,38,556363.5591262805,0.6045858158903394,0.6806552707070797,104.73000000000002
C18,CSE,2024,617,95,310,75,4,12,27,16,556042.1250155647,0.9439199676280434,0.7643466423314769,104.73
C13,MECH,2022,513,70,246,37,5,10,37,20,524327.6541748113,0.6802838627886221,0.5768297554233599,104.72999999999998
C15,IT,2020,974,90,541,62,1,14,31,20,444291.6449342779,0.8538503850506555,0.7043781688705478,104.73
C11,Mechatronics,2023,611,42,241,32,4,10,42,28,524252.0924260914,0.7781480740312935,0.6639336185266593,104.73
C19,MECH,2022,503,90,202,45,1,15,21,13,554757.0322902743,0.6690317836159504,0.5386028486956438,104.72999999999999
C09,AIML,2020,685,87,295,87,4,12,25,14,461736.80373122136,0.7934729039658379,0.7381741955670157,104.72999999999999
C22,Cyber Security,2020,564,56,246,30,1,15,36,20,562849.3743632247,0.795790385783805,0.6186180149137063,104.73000000000003
C15,Mechanical,2024,893,69,478,39,3,14,48,34,530345.9994169548,0.7730437619934746,0.6340163413688549,104.73
C02,IT,2021,586,76,278,41,2,13,41,29,442347.5054271925,0.8660326349877044,0.650724314823015,104.73000000000002
C20,AIDS,2021,811,97,479,79,4,14,29,16,532419.6828323745,0.7710267625556227,0.7374473603299707,104.73000000000003
C12,CSE,2024,625,87,327,81,5,12,20,17,459703.83820489584,0.8538246558398089,0.7893516087838213,104.73
C05,MECH,2024,1003,99,448,58,2,10,36,22,523863.5884832471,0.6746066136558665,0.58330493678765,104.72999999999999
C08,ECE,2021,665,55,456,35,4,8,24,11,567014.6693892981,0.7220029263948927,0.6847992041499372,104.73
C12,Civil,2021,946,43,648,24,4,17,35,19,524743.0814034188,0.7892852926953672,0.6893321329676472,104.72999999999999
C22,CSE,2021,628,96,266,73,4,14,33,23,535492.7759527685,0.7803030041466467,0.6682005531661782,104.73
C23,AIML,2020,583,64,359,55,1,11,45,25,508310.5937527828,0.8274310856880382,0.7742335652442457,104.73000000000002
C18,ECE,2022,640,48,419,42,4,19,35,29,548978.6198668389,0.6312168226354955,0.7184266834452617,104.72999999999999
C16,CSE,2020,967,84,518,68,2,11,47,30,472457.06188112195,0.6326957266489953,0.6600950869833151,104.73
C01,AIML,2022,609,92,333,59,3,15,48,31,520703.9030611188,0.8457230135939344,0.6966632152218517,104.72999999999999
C14,CSE,2021,759,68,458,43,2,9,39,27,515465.4659249588,0.8485536296369912,0.708159468817485,104.72999999999999
C09,IT,2023,787,69,358,64,3,19,21,13,546295.9436947079,0.8111236112472965,0.7430283732723283,104.73000000000002
C07,ECE,2020,848,39,494,28,3,14,47,38,539316.7661215649,0.7916937661500514,0.7058793083619447,104.73000000000002
C25,MECH,2024,774,49,519,37,3,8,24,13,571104.5377865446,0.6334329889261626,0.686930931864814,104.72999999999999
C01,MECH,2020,680,66,450,50,3,19,42,24,438762.94034688215,0.7497947849942703,0.7230510664149798,104.73
C16,CSE,2021,954,84,516,69,2,11,47,30,475740.20707707875,0.6321641206040453,0.6667662103256975,104.73
C11,Mechanical,2021,771,93,501,81,1,15,39,31,544620.8033342232,0.7957757233827175,0.7819425846222104,104.72999999999999
C10,IT,2022,915,51,390,37,4,8,27,15,463428.535367553,0.8125747525142004,0.6771162301912083,104.73
C23,CSE,2024,523,97,258,56,3,14,33,27,546359.1263836538,0.8488738961653193,0.6623407496585924,104.73
C19,CSE,2022,560,65,315,58,3,8,31,16,540167.7291404954,0.8450974979143204,0.7723686526320619,104.73
C02,MECH,2022,693,58,318,30,2,11,33,24,524972.466166361,0.74609766204005,0.5885542482331277,104.73
C02,CSE,2020,980,90,528,66,1,14,37,21,497898.29416228563,0.942894266183746,0.7531975632381603,104.73000000000002
C25,IT,2021,755,61,447,42,2,15,21,13,537845.9092602402,0.793428867977523,0.690900128029672,104.72999999999999
C08,CSE,2020,916,78,620,74,1,10,44,35,433030.54259448894,0.8542649463326245,0.8173412361054694,104.72999999999999
C04,CSE,2020,737,87,346,75,4,12,41,27,492137.0612667419,0.8314813914054044,0.7336966862845665,104.73
C08,CSE,2021,910,78,629,73,1,10,43,35,430369.97365403996,0.8649570462826455,0.8231809515352282,104.72999999999999
C15,IT,2024,989,92,552,62,1,14,32,20,438185.5154230516,0.8478830606647831,0.6990740735563292,104.73
C07,ECE,2023,858,40,491,28,3,14,47,39,534247.0650071827,0.7988749421258343,0.7101102328157455,104.73
C24,ECE,2022,652,59,330,51,4,18,50,31,433530.73133871064,0.6174179245166842,0.6524484242429497,104.73000000000002
C19,IT,2022,987,94,558,56,2,10,36,22,466588.3526825033,0.8380653246783103,0.6896188036641728,104.72999999999999
C17,AIML,2021,936,58,422,36,1,8,40,25,567070.7507949614,0.870443228792354,0.6733830909982401,104.73
C10,IT,2020,621,71,423,56,2,18,29,16,536627.0958370363,0.8086284387097666,0.7695334199525911,104.73
C09,Cyber Security,2024,784,69,350,64,3,19,20,13,545567.6699772752,0.8125907147883749,0.7436803729691357,104.73000000000002
C16,IT,2022,637,76,322,67,3,19,41,26,447996.835402611,0.8367763719984905,0.7557546508664996,104.73000000000003
C25,IT,2020,778,48,514,37,3,8,24,12,572834.0612884806,0.6259708158520798,0.6940212410498151,104.73
C24,Mechanical,2024,540,63,217,31,4,19,30,18,561173.4082671537,0.7527344286839097,0.5770778277015857,104.73
C18,IT,2020,744,44,375,40,5,16,21,11,485092.8916169,0.9400239400548808,0.790504980949682,104.73
C04,CSE,2022,961,74,618,73,3,8,24,18,522372.34960503306,0.9019969890138998,0.8418304178261031,104.73000000000002
C11,ECE,2023,582,42,247,33,4,10,42,28,523143.0546323986,0.783042851698933,0.6685913498189628,104.72999999999998
C19,MECH,2021,508,89,203,44,1,15,21,13,552772.6468328392,0.6642656580135515,0.5361616458709182,104.72999999999999
C03,MECH,2023,702,48,298,24,1,14,42,34,440322.3317828352,0.6734401447313065,0.5523934769853452,104.73
C21,MECH,2021,660,89,327,63,5,12,37,30,449326.45245967415,0.6839515055403685,0.6359489389669192,104.73000000000002
C21,ECE,2021,946,51,497,37,3,18,38,32,570003.6729149955,0.6230480194709039,0.6220835726262799,104.73000000000002
C24,IT,2022,540,64,226,32,4,19,30,19,557220.4724126351,0.7456524392934005,0.5705546105140127,104.73000000000002
C18,IT,2021,749,45,382,40,5,16,21,11,486585.75296639436,0.9398233055849741,0.7938646818486965,104.73
C11,Mechatronics,2024,876,97,442,77,3,8,43,25,433226.1023602471,0.7949753887435368,0.7100157638217771,104.73
C02,IT,2023,577,77,286,40,2,13,41,29,439923.50478388934,0.8659723376546932,0.6576080638589714,104.72999999999999
C22,Mechatronics,2022,901,46,358,27,1,19,44,35,524267.7925033573,0.8183130078538405,0.6165008534628027,104.73
C03,BME,2020,701,48,276,24,1,14,42,35,441512.25633879664,0.6851427643921542,0.5482082442892001,104.72999999999999
C04,CSE,2023,777,48,528,37,2,17,47,35,482003.06382643356,0.6517259790343266,0.6955465212580367,104.72999999999999
C10,Civil,2023,620,72,412,55,2,18,29,15,534102.5553591253,0.8113334338661518,0.7651447248975004,104.73
C16,MECH,2023,948,84,516,70,2,11,47,29,471792.26594893174,0.6280531355934399,0.6626296792425795,104.73
C10,MECH,2022,841,71,550,56,3,16,45,38,558520.4390521485,0.6102336795173047,0.6745674190312088,104.72999999999999
C09,CSE,2020,783,68,399,62,1,12,47,39,536840.0061658141,0.8077132043379864,0.7458641995319533,104.72999999999999
C07,CSE,2022,934,60,522,46,4,16,20,17,529709.9622791214,0.8320379259768503,0.7483975278117212,104.72999999999999
C14,MECH,2024,724,76,307,50,1,10,27,14,559483.354857715,0.739094300538895,0.614946015980273,104.72999999999999
C08,EEE,2023,670,53,459,36,4,8,23,11,567026.3315704507,0.727589005250961,0.6823375026386123,104.73
C15,Mechanical,2021,889,70,480,37,3,14,48,34,534021.3806061372,0.7734695776022136,0.6359867599081995,104.73000000000002
C25,IT,2023,762,62,442,41,2,15,20,13,537091.1216697976,0.8015292621436096,0.6980803647336202,104.73000000000002
C10,CSE,2020,611,71,416,54,2,18,29,15,537674.0485061642,0.8164186907074945,0.7673867944982511,104.73
C14,MECH,2023,728,77,300,48,1,10,28,14,561915.1174548257,0.7328816716605058,0.6186758920799761,104.72999999999998
C07,IT,2022,993,98,407,49,4,12,24,18,546256.8051504177,0.8212397541454003,0.5939547528629991,104.73
C18,ECE,2024,638,49,414,44,4,19,35,28,552655.7334909217,0.6344780670308549,0.7205681069121435,104.72999999999998
C01,CSE,2024,787,41,519,41,1,19,45,33,513375.90814866684,0.7528376641199178,0.7882061572973601,104.73000000000002
C21,Cyber Security,2021,947,52,495,37,3,18,39,33,569545.3163522665,0.627258068924616,0.6181890632500414,104.72999999999999
C07,ECE,2022,867,40,493,30,3,14,46,38,535541.5188388354,0.8086110027102423,0.7086261738511084,104.73
C12,AIML,2020,950,66,451,62,4,12,31,24,552929.7433286968,0.8982453441804222,0.777502010407383,104.73000000000002
C17,IT,2022,928,58,418,36,1,8,40,25,567262.0919743876,0.8696589669711793,0.6681188384880188,104.73000000000003
C25,BME,2020,768,63,434,43,2,15,21,13,542681.1837659203,0.8065874700061705,0.7030704675337863,104.73
C20,CSE,2024,648,97,416,49,3,9,30,15,537941.224222865,0.8617803423492089,0.6945036555165198,104.73000000000002
C04,CSE,2020,975,74,616,74,3,8,24,18,521099.5684421884,0.9075969659571083,0.8469277685684714,104.73
C03,AIML,2024,691,80,369,63,2,16,47,34,480768.4579603428,0.7818797446626906,0.7019923032280869,104.73
C18,IT,2021,749,45,380,40,5,16,21,11,484901.73180546134,0.9419588042771623,0.7877289756177056,104.72999999999999
C25,ECE,2022,788,50,425,37,3,10,20,15,497091.1547958863,0.676463394964544,0.6464391741938161,104.73
C23,AIML,2020,600,58,348,31,2,15,26,12,533784.3781582348,0.7336110803153238,0.6363044189321321,104.72999999999999
C21,Cyber Security,2021,649,88,316,62,5,12,37,29,456136.3471436352,0.6905007335009735,0.6301597090454437,104.73000000000002
C20,Mechatronics,2024,973,68,631,49,5,12,33,17,483585.9214315523,0.8019105539782715,0.7329177622339242,104.73
C22,Cyber Security,2021,809,65,406,58,1,16,40,33,548449.7120076487,0.7227241121599176,0.6983271586728959,104.73000000000002
C22,CSE,2022,879,47,364,25,1,19,44,35,522829.2538276559,0.8287800809648191,0.6221142383994357,104.73000000000003
C24,MECH,2023,873,69,406,36,3,15,45,34,567880.3609012112,0.7896434165217583,0.6166002162061036,104.73000000000002
C14,ECE,2021,633,82,320,69,4,16,40,32,475366.4059079963,0.6739569275348409,0.6767260998397958,104.73
C06,AIML,2024,902,41,407,31,2,13,42,23,539946.8329090961,0.6240514752320039,0.605506282509781,104.73
C08,EEE,2024,928,79,617,73,1,10,45,35,426452.14263287745,0.8613197381285795,0.8222889908489047,104.73
C03,Mechatronics,2022,791,39,394,26,1,15,20,13,562951.94709341,0.6695553224045765,0.6232975167326459,104.73
C01,ECE,2022,589,91,343,84,3,13,39,21,495798.5990524324,0.7801799658102961,0.7598741727751814,104.73000000000002
C20,Mechanical,2023,810,97,499,81,4,14,28,17,535082.6398492029,0.7708146759487254,0.742760139302895,104.73
C18,BME,2022,755,44,385,40,5,16,20,11,488091.3525200867,0.9365298867969385,0.7953936094840105,104.73
C05,IT,2021,644,77,304,61,3,13,43,30,480964.64958482166,0.8362031403434285,0.7173189202430919,104.73
C16,IT,2023,639,74,321,69,3,19,41,26,442923.97031148465,0.8355527393211762,0.7619115095024671,104.73000000000002
C07,AIML,2020,1019,100,397,49,4,12,24,18,544218.1081789344,0.8181625369378327,0.5975999579804917,104.73000000000002
C11,ECE,2023,767,94,488,81,1,15,40,32,544439.1579858654,0.788182331823519,0.7758951224664898,104.72999999999999
C05,AIML,2021,601,82,329,69,3,17,42,32,555034.402420326,0.8175698036475834,0.7428776821023869,104.72999999999999
C05,AIML,2021,603,84,323,70,3,17,42,32,553632.0309420179,0.8192721239595735,0.7444365069960212,104.73
C19,CSE,2020,489,89,195,44,1,15,21,13,553058.6063603857,0.6722022281433975,0.5376699187700873,104.72999999999999
C08,IT,2021,884,46,494,24,1,8,35,28,448473.7858680908,0.8517293415146628,0.6663395630907788,104.73
C23,MECH,2022,605,55,350,32,2,15,27,13,530853.0158079442,0.745839951829168,0.6370275797950647,104.72999999999999
C20,CSE,2024,664,96,411,50,3,9,32,15,538404.4178616076,0.8597431413627411,0.6892262882818272,104.73000000000002
C16,Cyber Security,2022,955,81,522,68,2,11,48,30,473066.9010089675,0.6287006129943553,0.654857576274328,104.72999999999999
C01,CSE,2024,613,91,335,60,3,15,48,30,514965.7565185862,0.8386398363015775,0.6936054474142024,104.72999999999999
C23,ECE,2024,794,73,434,52,1,14,24,19,523711.2710876279,0.6829079059624462,0.640812859081997,104.72999999999999
C10,Mechanical,2020,612,71,422,57,2,18,29,15,535509.5503088649,0.8152699032934887,0.7643053680618261,104.73
C09,MECH,2022,915,60,529,33,2,16,29,19,465231.8265057116,0.7775420144112809,0.6376895530618457,104.72999999999999
C10,MECH,2022,825,72,546,56,3,16,45,38,555031.5112922847,0.6143572249903083,0.6730015512094005,104.73
C12,IT,2021,948,68,446,62,4,12,30,23,550959.5533734453,0.9027189546656069,0.7770568302556166,104.73
C23,IT,2023,587,65,346,57,1,11,44,25,512689.67998551397,0.8227393952660879,0.7701200159591067,104.73
C17,Cyber Security,2022,511,49,216,30,4,15,48,30,492367.223796862,0.6480215362159668,0.5765196133178668,104.72999999999999
C03,MECH,2023,700,47,294,24,1,14,43,34,441007.03291905747,0.6790735156307358,0.5516435803066195,104.73
C11,IT,2020,873,101,446,78,3,8,42,25,437597.8653528768,0.7915351038227192,0.7014669173321294,104.72999999999999
C17,Mechatronics,2023,498,41,292,38,1,15,20,16,466962.21481755044,0.8405560115436437,0.7731936710433465,104.73
C14,AIDS,2021,754,68,462,42,2,9,38,27,513716.3897299551,0.8478900958532447,0.712463399876442,104.73
C09,ECE,2020,918,62,520,34,2,16,29,20,467668.33341226523,0.7725711325769081,0.6428047349887033,104.73
C13,BME,2021,508,53,225,44,2,8,46,34,519656.8640787931,0.697103264333604,0.6440233791439683,104.73000000000002
C20,CSE,2020,654,96,421,49,3,9,31,15,535852.3004844846,0.8591980163286383,0.6901805328838534,104.73000000000002
C11,Civil,2021,768,94,493,84,1,15,39,31,546237.7717261591,0.802087480514001,0.776692456027474,104.73
C06,IT,2020,607,58,286,49,5,11,20,15,540574.822693951,0.8229302890773842,0.7431057245330596,104.73
C17,MECH,2021,519,50,229,32,4,15,46,30,491852.36266700603,0.6448865296102221,0.5763702251982689,104.73000000000003
C14,IT,2022,709,76,296,49,1,10,28,14,558861.4967620295,0.735419572972033,0.6210779935031122,104.73
C25,Civil,2024,790,52,414,38,3,10,20,15,496197.361056524,0.685722172060102,0.6513223380706452,104.73000000000002
C16,ECE,2020,789,96,518,52,5,12,25,13,563268.140247302,0.7436138040322245,0.656512986726253,104.73000000000002
C01,CSE,2022,596,93,332,60,3,15,48,30,516337.3550414554,0.8470161401412287,0.6914246912772016,104.73000000000002
C04,AIDS,2023,828,99,573,69,4,9,29,22,525462.0861564435,0.6239003078605659,0.6759538618816829,104.73000000000002
C19,CSE,2024,553,64,308,58,3,8,32,16,533385.9368430591,0.8481313061862025,0.7707598064838764,104.72999999999999
C24,AIDS,2020,650,61,327,53,4,18,49,32,435200.1180514146,0.6215648444675519,0.6596614049977447,104.72999999999999
C05,MECH,2021,991,97,449,58,2,10,36,22,520695.09185670794,0.6701326139326885,0.585895962936674,104.73
C06,CSE,2023,683,89,272,45,4,13,42,25,490263.33753769373,0.8222294567049857,0.6000562812656061,104.73000000000002
C01,EEE,2021,577,93,332,85,3,13,40,21,492354.4389281959,0.7791659962316467,0.7620100634518596,104.73
C15,ECE,2021,705,70,406,54,2,12,24,14,519801.33040447976,0.753961537372707,0.696599541087656,104.72999999999999
C09,ECE,2024,767,68,361,63,3,19,19,13,544606.0344108106,0.8122473451164255,0.7413441550732366,104.73
C21,ECE,2023,955,52,498,36,3,18,38,33,566591.9346890057,0.6289301040383962,0.6246605239071873,104.73
C20,IT,2024,908,100,601,86,2,9,37,31,508074.7501896586,0.8574788179753999,0.800537743172351,104.72999999999999
C11,CSE,2023,769,94,503,82,1,15,40,31,542730.7900288734,0.7903913907769013,0.7797147308759907,104.72999999999999
