College_Code,Department_Name,Event_Year,Total_Students,Total_Teams,Active_Participants,Total_Offers,Partnership_Count,Recruiter_Visits,Total_Faculty,Active_Mentors,Total_Hackathon_Cost,Innovation_Score_Avg,Departmental_Performance_Index_DPI,Institutional_ROI
C12,IT,2025,961,67,452,62,4,12,31,24,551172,0.903,0.78,104.73
C12,MECH,2025,538,75,247,66,5,14,45,31,527379,0.837,0.737,104.73
C13,CSE,2025,789,91,537,54,2,10,45,22,446364,0.858,0.725,104.73
C13,ECE,2025,503,55,224,42,2,8,47,34,521680,0.697,0.642,104.73
C13,IT,2025,916,90,466,56,3,8,20,17,538940,0.931,0.712,104.73
C13,MECH,2025,511,70,249,36,5,10,37,20,524297,0.684,0.574,104.73
C14,CSE,2025,763,68,458,43,2,9,38,27,512745,0.849,0.709,104.73
C14,ECE,2025,613,84,319,70,4,16,40,32,474425,0.671,0.674,104.73
C14,IT,2025,856,48,533,26,1,10,35,20,568429,0.824,0.679,104.73
C14,MECH,2025,723,76,300,50,1,10,28,14,561800,0.734,0.615,104.73
C15,CSE,2025,841,52,522,44,1,11,31,23,489163,0.919,0.808,104.73
C15,ECE,2025,705,70,409,53,2,12,24,14,517508,0.751,0.701,104.73
C15,IT,2025,983,92,543,61,1,14,32,20,441174,0.849,0.704,104.73
C15,MECH,2025,897,70,479,39,3,14,48,34,533150,0.776,0.638,104.73
C16,CSE,2025,575,48,303,35,1,13,26,20,523105,0.765,0.683,104.73
C16,ECE,2025,782,97,505,52,5,12,25,14,562396,0.745,0.653,104.73
C16,IT,2025,631,75,321,67,3,19,41,26,445485,0.835,0.755,104.73
C16,MECH,2025,950,84,520,69,2,11,47,30,472918,0.629,0.662,104.73
C17,CSE,2025,500,42,291,37,1,15,20,15,466395,0.837,0.774,104.73
C17,ECE,2025,672,71,440,55,5,18,47,27,443843,0.663,0.694,104.73
C17,IT,2025,940,57,422,36,1,8,40,25,568186,0.867,0.671,104.73
C17,MECH,2025,511,49,219,31,4,15,47,30,491529,0.642,0.575,104.73
C18,CSE,2025,635,97,313,75,4,12,28,17,551790,0.947,0.759,104.73
C18,ECE,2025,644,48,417,44,4,19,35,29,552402,0.633,0.723,104.73
C18,IT,2025,752,45,381,40,5,16,21,11,486570,0.937,0.793,104.73
C18,MECH,2025,864,44,463,22,1,9,34,17,453833,0.694,0.588,104.73
C19,CSE,2025,562,64,309,58,3,8,32,16,535570,0.844,0.774,104.73
C19,ECE,2025,884,60,358,57,1,12,24,17,453574,0.828,0.738,104.73
C19,IT,2025,984,92,557,55,2,10,36,22,468765,0.84,0.685,104.73
C19,MECH,2025,500,90,203,45,1,15,21,13,554454,0.667,0.539,104.73
C20,CSE,2025,653,97,422,50,3,9,31,15,536884,0.86,0.693,104.73
C20,ECE,2025,977,69,640,50,5,12,33,17,489494,0.801,0.734,104.73
C20,IT,2025,921,99,593,86,2,9,37,31,505745,0.861,0.798,104.73
C20,MECH,2025,807,96,487,80,4,14,29,16,533196,0.774,0.741,104.73
C21,CSE,2025,887,49,537,40,2,8,47,27,444388,0.946,0.805,104.73
C21,ECE,2025,949,52,504,36,3,18,38,33,567162,0.632,0.62,104.73
C21,IT,2025,873,55,356,30,4,15,44,24,499724,0.925,0.656,104.73
C21,MECH,2025,659,89,323,62,5,12,37,29,453061,0.687,0.631,104.73
C22,CSE,2025,904,45,361,26,1,19,45,35,521865,0.823,0.622,104.73
C22,ECE,2025,800,66,392,58,1,16,41,34,548831,0.728,0.702,104.73
C22,IT,2025,560,56,249,31,1,15,36,20,561374,0.787,0.614,104.73
C22,MECH,2025,626,95,263,72,4,14,33,23,535113,0.78,0.665,104.73
C23,CSE,2025,513,98,260,55,3,14,33,26,548033,0.856,0.663,104.73
C23,ECE,2025,793,74,431,51,1,14,24,18,525462,0.681,0.642,104.73
C23,IT,2025,585,65,359,56,1,11,44,25,512152,0.821,0.771,104.73
C23,MECH,2025,608,57,353,31,2,15,27,13,530776,0.741,0.634,104.73
C24,CSE,2025,600,45,419,23,3,15,46,35,546148,0.816,0.689,104.73
C24,ECE,2025,649,60,328,52,4,18,49,32,434324,0.62,0.66,104.73
C24,IT,2025,535,63,219,32,4,19,30,18,561189,0.751,0.576,104.73
C24,MECH,2025,868,69,408,35,3,15,45,34,567541,0.792,0.61,104.73
C25,CSE,2025,909,93,574,78,4,8,31,15,472533,0.872,0.79,104.73
C25,ECE,2025,792,50,415,37,3,10,20,15,495545,0.684,0.653,104.73
C25,IT,2025,760,62,441,42,2,15,21,13,538872,0.801,0.698,104.73
C25,MECH,2025,772,48,510,38,3,8,24,13,569639,0.631,0.688,104.73
C04,IT,2025,735,88,346,75,4,12,42,27,492924,0.8313388813543474,0.7284661345358996,104.73000000000002
C23,MECH,2025,611,56,355,31,2,15,27,13,531363,0.7389066515679384,0.6343875353083099,104.72999999999999
C09,MECH,2025,912,62,535,34,2,16,29,19,466968,0.7751659163368604,0.6429889256395132,104.73
C06,IT,2025,624,56,288,52,5,11,21,15,539067,0.830996859298161,0.7416346177982343,104.73
C09,MECH,2025,924,62,530,34,2,16,29,19,464564,0.7741932505734003,0.6367983733838352,104.73
C06,MECH,2025,737,56,390,35,4,18,25,14,484287,0.7495695476253534,0.6508298829210385,104.73
C19,MECH,2025,503,89,201,45,1,15,21,13,554514,0.665349920277147,0.5410223705124618,104.73
C22,MECH,2025,908,46,366,25,1,19,45,35,521524,0.8201293974184715,0.6215515802976546,104.73
C01,IT,2025,793,40,511,39,1,19,45,33,513030,0.7535792248717876,0.7850097385325839,104.73
C11,IT,2025,779,48,446,44,1,17,45,22,568816,0.711657271929062,0.7342419203506461,104.73
C04,CSE,2025,973,75,619,73,3,8,24,18,521850,0.903496191564134,0.845094442628849,104.72999999999999
C05,ECE,2025,720,41,411,38,5,16,22,17,565195,0.6433287951528903,0.7183745033713569,104.73
C02,ECE,2025,887,59,443,42,4,14,31,22,512658,0.6085011553324761,0.6132501369293251,104.73000000000002
C15,IT,2025,987,93,550,61,1,14,32,20,442409,0.8491066906918161,0.7046001424943774,104.73
C02,CSE,2025,986,91,530,66,1,14,37,21,497830,0.9386861840105455,0.7500137939555613,104.73
C07,IT,2025,1000,98,398,49,4,12,24,18,548786,0.817461155899185,0.5969006654376237,104.72999999999999
C23,IT,2025,975,92,538,60,1,14,32,20,441400,0.8476265506780716,0.7022561429611629,104.73
C18,MECH,2025,866,44,462,21,1,9,33,17,453932,0.6888541228569723,0.5899723799515257,104.72999999999999
C15,CSE,2025,846,52,525,44,1,11,31,23,490868,0.9220670264363744,0.8079080197516336,104.73000000000002
C19,CSE,2025,561,63,313,58,3,8,32,16,536341,0.83916229722003,0.7703002456726111,104.73
C02,CSE,2025,986,91,536,65,1,14,37,21,500568,0.935785026893603,0.7543306098129735,104.72999999999999
C23,ECE,2025,671,71,434,55,5,18,47,27,443550,0.6657746692247436,0.6920101419596411,104.73000000000002
C21,CSE,2025,891,49,542,40,2,8,47,27,444782,0.9472557162360953,0.8063653506528191,104.73
C12,ECE,2025,946,44,656,25,4,17,35,19,525487,0.7918482867990292,0.6872074187616652,104.73
C05,IT,2025,625,76,300,62,3,13,43,29,482965,0.8328523930472751,0.7145976446749319,104.73
C02,ECE,2025,987,89,530,66,1,14,37,21,500505,0.9342277809067592,0.7511354315494623,104.73000000000002
C19,ECE,2025,877,60,351,56,1,12,24,17,452217,0.8299132049544817,0.7374556365404322,104.73
C06,IT,2025,619,56,291,51,5,11,21,15,539167,0.8297480317157258,0.7468970024267468,104.73
C25,CSE,2025,907,93,575,78,4,8,31,15,475407,0.8733486342859766,0.7896715396726613,104.73
C17,ECE,2025,676,71,437,56,5,18,47,27,443418,0.6612274988048663,0.6958543253670626,104.72999999999999
C07,IT,2025,991,99,394,48,4,12,24,18,547760,0.8160721651347657,0.6010304830344263,104.73
C14,CSE,2025,640,96,306,75,4,12,28,16,552079,0.9472515348923928,0.7578410328758641,104.73
C07,CSE,2025,918,58,521,48,4,16,20,17,531586,0.8315886615649268,0.7519303730431235,104.73
C01,ECE,2025,586,92,335,85,3,13,40,21,493794,0.7818921946666446,0.7592674959271314,104.73
C18,MECH,2025,857,44,465,23,1,9,34,17,451883,0.6952620700603108,0.593439986792475,104.72999999999999
C06,CSE,2025,676,88,274,45,4,13,42,25,486000,0.8155715629306638,0.6016923469206822,104.73000000000002
C20,ECE,2025,975,69,640,51,5,12,33,17,489771,0.8007362219034685,0.7317597742344574,104.73
C07,IT,2025,1002,98,396,49,4,12,24,19,549174,0.8173281317721263,0.5941686315854772,104.73
C12,MECH,2025,539,76,247,65,5,14,45,31,527713,0.8368981455920778,0.741462954465319,104.73
C23,IT,2025,582,65,353,56,1,11,44,25,510384,0.8212465476030595,0.766173091882927,104.73
C12,CSE,2025,611,87,335,82,5,12,20,17,457723,0.853541135382429,0.7848238657488933,104.72999999999999
C12,MECH,2025,533,76,246,66,5,14,45,31,525955,0.8405411803294572,0.7359944667518694,104.73
C18,CSE,2025,634,97,311,74,4,12,28,17,552958,0.9489584970913216,0.7593302737467362,104.73000000000002
C09,CSE,2025,775,69,411,61,1,12,47,38,531183,0.8116759591196003,0.7455525830996229,104.73000000000002
C04,MECH,2025,728,87,342,75,4,12,42,27,491259,0.834626703083759,0.7291584847896592,104.72999999999999
C11,MECH,2025,776,48,453,44,1,17,45,22,567841,0.7102408997860252,0.7334038174909729,104.73000000000002
C03,ECE,2025,886,60,352,57,1,12,24,17,455329,0.8242213212297075,0.7354154237095732,104.73
C24,MECH,2025,863,70,415,36,3,15,44,34,565905,0.7908941838106651,0.6075653695645582,104.73000000000002
C19,ECE,2025,890,60,353,57,1,12,24,17,451112,0.824826977945489,0.7388319377301473,104.72999999999999
C05,IT,2025,638,75,308,61,3,13,43,29,482369,0.8335330428309993,0.7195978580249802,104.73
C23,IT,2025,587,64,359,56,1,11,44,25,512358,0.8180659816038875,0.7753602718000959,104.73
C02,MECH,2025,694,57,321,29,2,11,33,23,521002,0.7437288961647985,0.5867497186263322,104.73
C19,MECH,2025,501,90,204,45,1,15,21,13,554042,0.6648314949021883,0.5407348208120587,104.73
C15,CSE,2025,901,71,478,38,3,14,48,34,533004,0.7754048185152084,0.6388832750693488,104.73000000000002
C01,CSE,2025,601,90,329,59,3,15,48,30,518160,0.8397844851846397,0.6950778567609347,104.73
C18,IT,2025,750,46,380,40,5,16,21,11,487558,0.9363859785170803,0.7905623061040891,104.73
C05,CSE,2025,608,82,324,69,3,17,42,32,555088,0.8220958816124582,0.740350154274663,104.73
C24,CSE,2025,604,45,423,24,3,15,46,35,546731,0.8194669759990895,0.6901618449928216,104.73
C25,ECE,2025,783,50,412,38,3,10,20,15,495045,0.6822236899459749,0.65251932563359,104.73
C11,CSE,2025,775,93,497,82,1,15,40,31,544709,0.7942313162278838,0.7741289400016216,104.73
C08,ECE,2025,926,79,620,73,1,10,44,35,433111,0.8637266305979987,0.8229188658182124,104.73
C25,IT,2025,761,63,447,42,2,15,21,13,539745,0.7984145009447644,0.6955985798026731,104.73
C23,ECE,2025,789,74,434,50,1,14,24,18,527241,0.6802567048179707,0.6418766705261085,104.73
C20,ECE,2025,980,69,641,49,5,12,33,17,490800,0.7991035907436861,0.7311284386321518,104.73
C21,IT,2025,882,56,354,30,4,15,44,24,501094,0.9268421047760577,0.6610059572776669,104.73000000000002
C02,CSE,2025,981,90,531,65,1,14,36,21,497614,0.937653225006698,0.754837447381097,104.72999999999999
C11,MECH,2025,788,48,447,44,1,17,45,22,569486,0.7116191972646584,0.7302815869825227,104.72999999999999
C25,CSE,2025,910,94,576,78,4,8,31,15,473018,0.872456062649374,0.7875386611150399,104.73
C03,IT,2025,994,56,564,31,1,18,24,18,453316,0.8775774971214507,0.6819113793945429,104.73000000000002
C05,CSE,2025,608,84,324,69,3,17,42,32,553316,0.8215979773127363,0.7441085277234211,104.72999999999999
C25,IT,2025,760,61,438,42,2,15,21,13,538715,0.7990876722466366,0.6949208290838382,104.73
C17,ECE,2025,667,72,437,55,5,18,47,27,445223,0.6628020922771521,0.6940295049718763,104.73000000000002
C12,ECE,2025,946,43,653,23,4,17,35,19,522580,0.7874189246869493,0.6859736242125433,104.72999999999999
C03,IT,2025,1001,56,559,29,1,18,24,18,452120,0.8811025093713499,0.6822497841665375,104.73
C12,CSE,2025,514,98,260,55,3,14,33,26,549296,0.856384789297862,0.6628165342321003,104.73
C17,CSE,2025,497,42,291,38,1,15,20,15,465397,0.83589214194088,0.7755538074407556,104.73000000000002
C24,ECE,2025,799,39,405,25,1,15,20,13,568072,0.6701498724962542,0.6180064797448502,104.73
C25,IT,2025,763,62,441,41,2,15,21,13,539114,0.804740866624028,0.6977123600878824,104.73
C18,CSE,2025,636,97,314,75,4,12,28,17,552369,0.9402511572870506,0.7554036134675521,104.73
C23,ECE,2025,799,73,434,51,1,14,24,18,526150,0.6814234639492319,0.6411179171020783,104.73
C12,CSE,2025,950,45,658,25,4,17,35,19,523637,0.7888049312647215,0.6850397410351898,104.73
C15,IT,2025,978,92,547,62,1,14,32,20,440419,0.8494133746561823,0.7049736894268539,104.73
C25,MECH,2025,764,48,513,38,3,8,24,13,568750,0.6321005336072267,0.6902850939871686,104.73
C21,MECH,2025,656,89,321,62,5,12,37,29,452206,0.6881467575046454,0.6282822103205491,104.73000000000002
C09,CSE,2025,692,80,360,62,2,16,47,35,480981,0.7758083774429914,0.7010406199707816,104.72999999999999
C09,CSE,2025,771,70,401,60,1,12,47,38,530659,0.8025332881154216,0.7412595136722542,104.73
C10,ECE,2025,794,94,492,83,5,17,42,30,459658,0.8021133273006271,0.7766109213296656,104.72999999999999
C10,ECE,2025,804,93,491,84,5,17,42,30,457809,0.8043539919670918,0.7780537357992857,104.72999999999999
C14,CSE,2025,757,67,457,43,2,9,39,27,514329,0.8498139556211288,0.708001669124255,104.73
C20,ECE,2025,784,97,506,51,5,12,25,14,563871,0.7421336694685535,0.6545162268449227,104.73
C14,IT,2025,861,48,536,26,1,10,35,20,570434,0.8195434326384445,0.6788756062587347,104.73
C02,ECE,2025,888,60,442,42,4,14,31,22,510534,0.6073234447070566,0.6103408834126437,104.72999999999999
C09,IT,2025,789,67,357,63,3,19,20,13,548195,0.807921736764519,0.7454079454402616,104.73
C07,ECE,2025,862,40,489,28,3,14,47,38,535125,0.8010385002909164,0.7085199688997738,104.73
C12,MECH,2025,530,74,248,66,5,14,46,31,525735,0.8384384322989828,0.7348546185265347,104.73
C18,ECE,2025,862,45,464,22,1,9,34,17,454293,0.6946984750297953,0.587359264274082,104.73
C20,IT,2025,927,98,591,87,2,9,37,31,506132,0.8630275920993352,0.8005668316941994,104.72999999999999
C07,IT,2025,1004,99,397,49,4,12,24,18,548710,0.8181923208377311,0.5963864265913015,104.73
C07,ECE,2025,856,40,494,29,3,14,47,38,536627,0.800841906383971,0.7096770895785759,104.73
C02,ECE,2025,890,59,448,43,4,14,31,22,510381,0.6114506253985349,0.6136957457285869,104.73
C04,IT,2025,727,88,344,75,4,12,42,27,490577,0.8336571386099323,0.7302289616969347,104.72999999999999
C14,IT,2025,855,47,532,27,1,10,35,20,568311,0.8240262664770994,0.6776480195022582,104.72999999999999
C07,IT,2025,1001,98,400,50,4,12,24,18,548610,0.8178676698924737,0.5942343392294779,104.72999999999999
C08,IT,2025,882,47,489,26,1,8,35,28,448770,0.8558644600983154,0.6620853385004806,104.73
C06,MECH,2025,742,55,392,35,4,18,25,15,487424,0.7479809096716828,0.6511063294249918,104.73
C06,IT,2025,624,56,287,51,5,11,21,15,539157,0.8284998033038191,0.7437724672594891,104.73
C16,MECH,2025,948,84,520,69,2,11,47,30,470352,0.6294942561796624,0.6657994124962562,104.73
C07,IT,2025,996,98,403,50,4,12,24,18,546804,0.8123586139006128,0.5957917874564501,104.73
C24,ECE,2025,656,60,327,52,4,18,49,32,433552,0.6180986502826744,0.6562189816218065,104.73000000000002
C20,IT,2025,912,99,599,86,2,9,37,31,504603,0.8579528673187923,0.797401279891757,104.73
C05,MECH,2025,988,97,446,59,2,10,36,22,522614,0.6715562785176712,0.5838353669061696,104.73
C01,MECH,2025,670,67,448,48,3,19,42,24,442357,0.7484412990007246,0.7182399939226946,104.73000000000002
C17,IT,2025,936,56,422,36,1,8,40,25,567956,0.8684629321372708,0.6693672220834,104.73
C15,IT,2025,980,92,542,62,1,14,32,20,443611,0.852259182661269,0.7041074561288155,104.73
C22,ECE,2025,800,66,393,57,1,16,41,34,547047,0.727803092677278,0.7032690789859083,104.73
C10,ECE,2025,912,52,400,38,4,8,27,15,461949,0.8167695279256809,0.6790517756586587,104.73
C09,CSE,2025,912,62,522,33,2,16,29,19,467179,0.7691195281511681,0.6450515065465598,104.73
C06,MECH,2025,742,54,394,34,4,18,25,14,487881,0.7475409146953034,0.6505666617070607,104.72999999999999
C12,MECH,2025,534,75,242,65,5,14,45,31,529299,0.8378889076625874,0.7377039548005627,104.72999999999999
C13,MECH,2025,513,70,250,36,5,10,37,20,526636,0.6835811474461458,0.5747874182785228,104.73
C01,ECE,2025,589,93,327,85,3,13,40,21,493155,0.7766343806133955,0.7592607967209971,104.73000000000002
C11,IT,2025,873,99,453,77,3,8,42,25,435772,0.7904114746078963,0.7067737633402175,104.72999999999999
C24,CSE,2025,606,45,419,23,3,15,46,35,546531,0.8150486602122005,0.6883116449588211,104.73
C22,IT,2025,559,57,252,31,1,15,36,20,561836,0.785929233988366,0.611645807123687,104.73
C08,ECE,2025,606,85,315,70,4,16,40,32,475864,0.6675276746284632,0.6778889294432471,104.73000000000002
C21,CSE,2025,882,48,538,40,2,8,47,27,444460,0.9464389079766642,0.8074331137586099,104.73
C12,CSE,2025,612,87,338,82,5,12,20,17,456984,0.8513516957228413,0.7885784056959819,104.73000000000002
C14,IT,2025,851,48,537,27,1,10,35,20,565724,0.8231985834163625,0.6771980381057848,104.73
C09,MECH,2025,911,63,527,34,2,16,29,19,467420,0.7686121637960092,0.6412133728292678,104.73
C01,MECH,2025,672,66,454,49,3,19,42,24,441364,0.7474240318982952,0.7167349848046435,104.73
C23,MECH,2025,604,57,360,33,2,15,27,13,530892,0.7451198617747546,0.6307839453994281,104.73
C16,ECE,2025,782,97,501,53,5,12,25,14,561194,0.7472284462417853,0.6548622215327964,104.73
C25,ECE,2025,791,50,416,39,3,10,20,15,494006,0.6850992295197852,0.6545439380946977,104.73
C09,ECE,2025,697,69,411,53,2,12,24,14,517906,0.75439738458215,0.7001535396354838,104.72999999999999
C05,MECH,2025,1000,96,450,59,2,10,36,22,524226,0.6687710908552585,0.5866865139890289,104.73
C18,ECE,2025,638,48,418,44,4,19,35,29,550367,0.6343062778389955,0.7233952691985058,104.73
C23,ECE,2025,800,74,433,51,1,14,24,18,526218,0.6807870077198378,0.641456433588871,104.73000000000002
C01,MECH,2025,670,67,456,48,3,19,42,24,441593,0.7469759793029713,0.7227134249240323,104.72999999999999
C14,MECH,2025,724,76,300,50,1,10,28,14,562517,0.7360475747234468,0.6159249855398562,104.73000000000002
C07,CSE,2025,918,58,512,47,4,16,20,17,531350,0.8292559870809438,0.7493560128812218,104.73
C23,CSE,2025,513,98,260,55,3,14,33,26,547557,0.8543952158763926,0.6612846743321612,104.73
C25,IT,2025,763,62,439,42,2,15,21,13,539301,0.7950933636596713,0.7020997401368895,104.73
C12,CSE,2025,609,88,330,82,5,12,20,17,461096,0.8514750163042399,0.7829056750301102,104.73
C04,ECE,2025,785,48,520,38,2,17,47,35,479941,0.6519755463464684,0.6958006072396318,104.72999999999999
C21,MECH,2025,888,71,478,39,3,14,48,34,533290,0.7772880504275702,0.6396925181483298,104.73
C18,IT,2025,751,45,376,40,5,16,21,11,485685,0.9364057646335356,0.7902917583261788,104.73000000000002
C10,IT,2025,903,52,395,39,4,8,27,15,461787,0.8199216491303861,0.6806606296189688,104.73
C23,IT,2025,582,65,362,56,1,11,44,25,513900,0.8214949063627098,0.7700286794976436,104.73
C04,MECH,2025,821,99,569,70,4,9,29,22,525460,0.6286788052818028,0.6712522505556131,104.72999999999999
C01,IT,2025,794,41,503,40,1,19,45,33,516752,0.7569688622739718,0.7847716378129884,104.73
C16,IT,2025,576,48,308,34,1,13,26,20,523197,0.7677475371691411,0.6829652843199363,104.73
C05,IT,2025,619,56,287,51,5,11,21,15,540541,0.8313006195064145,0.7408229313634761,104.73000000000002
C03,MECH,2025,696,47,289,24,1,14,43,34,441529,0.6825863138757717,0.5516953681760738,104.73
C14,ECE,2025,611,84,323,70,4,16,40,32,476082,0.6669170790541035,0.6691672084550764,104.73
C11,CSE,2025,769,92,495,81,1,15,40,31,545641,0.7929810528477841,0.7753507097740999,104.73
C04,IT,2025,737,88,343,75,4,12,42,27,492972,0.83481313444041,0.7283976026271349,104.73
C05,ECE,2025,726,40,410,39,5,16,22,17,566034,0.6441095052708606,0.7191335950914615,104.72999999999999
C09,IT,2025,786,67,359,64,3,19,20,13,546142,0.8096201460343851,0.7404971041221742,104.73000000000002
C14,IT,2025,848,48,531,26,1,10,35,20,569987,0.8199832427963116,0.6794532010088489,104.72999999999999
C23,ECE,2025,795,73,430,51,1,14,24,18,527932,0.6843516014777561,0.6394550497264755,104.73
C03,IT,2025,999,56,565,29,1,18,24,18,452089,0.8761464580362459,0.680446879213189,104.72999999999999
C02,CSE,2025,970,74,620,73,3,8,25,18,519001,0.9069764828284702,0.8512611849965872,104.73
C19,IT,2025,979,92,561,55,2,10,36,22,468775,0.840471971674781,0.6831026530032484,104.73
C10,CSE,2025,622,72,422,57,2,18,29,15,535095,0.808546587135549,0.7712664284105916,104.73
C09,CSE,2025,774,69,409,60,1,12,47,38,534067,0.8065435462080582,0.7441632320945375,104.73000000000002
C05,MECH,2025,774,48,451,45,1,17,45,22,570270,0.7098670286724313,0.7351344422361905,104.72999999999999
C08,MECH,2025,920,79,627,73,1,10,44,35,430907,0.8617052641086669,0.8254515752990048,104.73
C15,MECH,2025,897,70,481,39,3,14,48,34,531552,0.7773591111204521,0.636199767679333,104.72999999999999
C12,CSE,2025,625,87,336,82,5,12,19,17,460214,0.8515048825242086,0.7836401038175981,104.73
C02,IT,2025,575,75,277,39,2,13,41,29,441110,0.8623850634744353,0.6496625382470188,104.73
C05,IT,2025,694,89,290,87,4,12,25,14,465066,0.7887615937064355,0.7406541998554687,104.73000000000002
C03,IT,2025,700,46,290,24,1,14,42,34,441823,0.6787111037407763,0.5506012329115006,104.73
C18,IT,2025,877,56,359,30,4,15,44,24,499195,0.9301694465969456,0.6543304449076867,104.72999999999999
C08,ECE,2025,503,55,227,43,2,8,47,34,520584,0.697676164805038,0.6404698643430871,104.73
C09,CSE,2025,910,63,522,33,2,16,29,19,466455,0.7770075783991117,0.6383944156968139,104.73
C22,ECE,2025,557,56,246,31,1,15,36,20,562605,0.7865687961087855,0.6140223167155984,104.73000000000002
C07,MECH,2025,652,87,387,61,1,15,39,29,435001,0.8347386990288279,0.7270927627809651,104.73
C12,MECH,2025,535,75,245,65,5,14,45,31,527480,0.8352101251450751,0.7396641473277243,104.73
C20,CSE,2025,659,97,421,50,3,9,31,16,535871,0.8630928661800484,0.6929209358194856,104.73
C05,IT,2025,629,76,300,60,3,13,43,29,481036,0.8317567291680033,0.7193372429214502,104.73
C11,IT,2025,868,98,444,78,3,8,43,25,436070,0.7915664666370292,0.7121225683683877,104.73
C22,CSE,2025,905,44,362,26,1,19,45,35,521241,0.8163892803973907,0.6196866598375625,104.73
C11,ECE,2025,608,85,318,70,4,16,40,32,475109,0.669787192162636,0.6712086968221065,104.73000000000002
C22,ECE,2025,806,66,393,58,1,16,41,34,549207,0.7265571606634378,0.7015305141177239,104.73
C23,ECE,2025,802,75,435,52,1,14,24,18,525050,0.6815526981190037,0.6453484116212996,104.73
C16,CSE,2025,570,49,303,36,1,13,26,20,523800,0.7638315532831013,0.6805612502547035,104.73000000000002
